state,date,M1,M2,M3,M4,V1,V2,V3,V4,D1,D2,D3,TR1,TR2,H1,H2,T1,T1a,T1b,T1c,T0,I1,E1,E1a,R1,Xa,Xb,cityname,abert20,abert21,primeira_aula,IEAD,mask,vent,dist,tran,higi,test,imun,aead,ISRAP
AC,26jan2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,27jan2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,28jan2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,29jan2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,30jan2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,31jan2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,01feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,02feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,03feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,04feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,05feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,06feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,07feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,08feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,09feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,10feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,11feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,12feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,13feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,14feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,15feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,16feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,17feb2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
