state,spatial_unit,date,C1,C1_geo,C2a,C2a_geo,C2b,C2b_geo,C3,C3_geo,C4,C4_geo,C6,C6_geo,C9,C9_geo,SPDS_CGRTBRFED
MG,Belo Horizonte,02mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,03mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,04mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,05mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,06mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,07mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,08mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,09mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,10mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,11mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,12mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,13mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,14mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,15mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,16mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,17mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,18mar2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,19mar2020,3,1,0,0,0,0,2,0,4,1,0,0,0,0,25
MG,Belo Horizonte,20mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,21mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,22mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,23mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,24mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,25mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,26mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,27mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,28mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,29mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,30mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,31mar2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,01apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,02apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,03apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,04apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,05apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,06apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,07apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,08apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,09apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,10apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,11apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,12apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
